cycle,index,pc,instruction,rd,value
2671,729,00000024,fe0006e3,0,00000000
2676,730,00000010,00012283,5,00000018
2681,731,00000014,005080b3,1,0000075c
2684,732,00000018,00410113,2,00000060
2687,733,0000001c,fff18193,3,00000008
2690,734,00000020,00018463,0,00000000
2693,735,00000024,fe0006e3,0,00000000
2698,736,00000010,00012283,5,00000019
2703,737,00000014,005080b3,1,00000775
2706,738,00000018,00410113,2,00000064
2709,739,0000001c,fff18193,3,00000007
2712,740,00000020,00018463,0,00000000
2715,741,00000024,fe0006e3,0,00000000
2720,742,00000010,00012283,5,0000001a
2725,743,00000014,005080b3,1,0000078f
2728,744,00000018,00410113,2,00000068
2731,745,0000001c,fff18193,3,00000006
2734,746,00000020,00018463,0,00000000
2737,747,00000024,fe0006e3,0,00000000
2742,748,00000010,00012283,5,0000001b
2747,749,00000014,005080b3,1,000007aa
2750,750,00000018,00410113,2,0000006c
2753,751,0000001c,fff18193,3,00000005
2756,752,00000020,00018463,0,00000000
2759,753,00000024,fe0006e3,0,00000000
2764,754,00000010,00012283,5,0000001c
2769,755,00000014,005080b3,1,000007c6
2772,756,00000018,00410113,2,00000070
2775,757,0000001c,fff18193,3,00000004
2778,758,00000020,00018463,0,00000000
2781,759,00000024,fe0006e3,0,00000000
2786,760,00000010,00012283,5,0000001d
2791,761,00000014,005080b3,1,000007e3
2794,762,00000018,00410113,2,00000074
2797,763,0000001c,fff18193,3,00000003
2800,764,00000020,00018463,0,00000000
2803,765,00000024,fe0006e3,0,00000000
2808,766,00000010,00012283,5,0000001e
2813,767,00000014,005080b3,1,00000801
2816,768,00000018,00410113,2,00000078
2819,769,0000001c,fff18193,3,00000002
2822,770,00000020,00018463,0,00000000
2825,771,00000024,fe0006e3,0,00000000
2830,772,00000010,00012283,5,0000001f
2835,773,00000014,005080b3,1,00000820
2838,774,00000018,00410113,2,0000007c
2841,775,0000001c,fff18193,3,00000001
2844,776,00000020,00018463,0,00000000
2847,777,00000024,fe0006e3,0,00000000
2852,778,00000010,00012283,5,00000020
2857,779,00000014,005080b3,1,00000840
2860,780,00000018,00410113,2,00000080
2863,781,0000001c,fff18193,3,00000000
2866,782,00000020,00018463,0,00000000
2870,783,00000028,fff20213,4,00000000
2873,784,0000002c,00020463,0,00000000
2877,785,00000034,00000063,0,00000000
